line_number,timestamp,stream_id,src_ip,dst_ip,rogue_origin,data_object,switchgear
283578,2026-02-15T15:56:12.646715,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CILO1$ST$EnaCls,Interlocking
283578,2026-02-15T15:56:12.646715,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q1CSWI1$ST$Pos,Disconnector
283578,2026-02-15T15:56:12.646715,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q2CILO1$ST$EnaCls,Interlocking
283578,2026-02-15T15:56:12.646715,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q8CILO1$ST$EnaCls,Interlocking
283651,2026-02-15T15:56:44.101198,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q2CSWI1$ST$Pos,Disconnector
283656,2026-02-15T15:56:45.705331,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CILO1$ST$EnaCls,Interlocking
283656,2026-02-15T15:56:45.705331,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q2CSWI1$ST$Pos,Disconnector
283695,2026-02-15T15:57:02.906720,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker
283697,2026-02-15T15:57:03.104847,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker
284045,2026-02-15T15:59:38.694636,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker
284047,2026-02-15T15:59:38.860555,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker
284047,2026-02-15T15:59:38.860555,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CILO1$ST$EnaCls,Interlocking
284113,2026-02-15T16:00:06.815549,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CSWI1$ST$Pos,Disconnector
284115,2026-02-15T16:00:07.754447,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CSWI1$ST$Pos,Disconnector
284117,2026-02-15T16:00:09.360764,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CILO1$ST$EnaCls,Interlocking
284117,2026-02-15T16:00:09.360764,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CSWI1$ST$Pos,Disconnector
284117,2026-02-15T16:00:09.360764,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q2CILO1$ST$EnaCls,Interlocking
284117,2026-02-15T16:00:09.360764,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q8CILO1$ST$EnaCls,Interlocking
